日期,信号数,涨停数,盈利笔数,亏损笔数,日收益率%,T日平均涨幅%,T日平均量比,日PnL(元),权益(元),累计PnL(元),累计收益率%,回撤%,是否盈利日,代码,名称,持仓明细
2016-11-09,2,0,1,1,1.9317,4.9900,1.8343,19315.2611,1019201.6276,19201.6276,1.9202,-1.7168,True,"000633,000691","合金投资,亚太实业",000633 合金投资 -0.86% | 000691 亚太实业 +4.73%
2016-11-10,2,0,2,0,2.0945,4.8688,1.1588,21347.2037,1040548.8313,40548.8313,4.0549,0.0000,True,"000691,002037","亚太实业,保利联合",000691 亚太实业 +2.32% | 002037 保利联合 +1.87%
2016-11-11,2,0,1,1,0.0690,5.0146,2.1810,718.0171,1041266.8484,41266.8484,4.1267,0.0000,True,"000629,000968","钒钛股份,蓝焰控股",000629 钒钛股份 +0.44% | 000968 蓝焰控股 -0.30%
2016-11-25,2,0,2,0,2.1597,5.0418,1.6862,22488.6129,1063755.4613,63755.4613,6.3755,0.0000,True,"000403,000717","派林生物,中南股份",000403 派林生物 +1.55% | 000717 中南股份 +2.77%
2016-12-14,2,0,1,1,0.5453,5.0225,1.6571,5800.4862,1069555.9475,69555.9475,6.9556,0.0000,True,"000962,002061","东方钽业,浙江交科",000962 东方钽业 +1.84% | 002061 浙江交科 -0.75%
2016-12-16,2,0,1,1,1.2529,5.0165,2.3711,13399.9873,1082955.9348,82955.9348,8.2956,0.0000,True,"000913,000995","钱江摩托,皇台酒业",000913 钱江摩托 -0.19% | 000995 皇台酒业 +2.69%
2016-12-27,2,0,1,1,-1.0934,5.0045,1.4095,-11841.3522,1071114.5826,71114.5826,7.1115,-1.0934,False,"000856,000995","冀东装备,皇台酒业",000856 冀东装备 +1.01% | 000995 皇台酒业 -3.19%
2017-01-09,2,0,2,0,2.1076,4.8969,1.6324,22575.1953,1093689.7779,93689.7779,9.3690,0.0000,True,"000408,000503","藏格矿业,国新健康",000408 藏格矿业 +0.14% | 000503 国新健康 +4.07%
2017-01-26,2,0,1,1,-0.9151,4.9144,1.3570,-10008.4780,1083681.2999,83681.2999,8.3681,-0.9151,False,"000913,000969","钱江摩托,安泰科技",000913 钱江摩托 +0.43% | 000969 安泰科技 -2.26%
2017-02-06,2,0,1,1,-0.4009,4.9977,1.9481,-4344.5641,1079336.7358,79336.7358,7.9337,-1.3124,False,"000504,000913","南华生物,钱江摩托",000504 南华生物 +0.94% | 000913 钱江摩托 -1.74%
2017-03-16,2,0,0,2,-2.8439,4.9935,1.6039,-30695.1259,1048641.6098,48641.6098,4.8642,-4.1189,False,"000670,000831","盈方微,中国稀土",000670 盈方微 -4.46% | 000831 中国稀土 -1.23%
2017-03-20,2,0,1,1,-4.0444,4.8579,1.6670,-42411.1312,1006230.4786,6230.4786,0.6230,-7.9967,False,"000034,000710","神州数码,贝瑞基因",000034 神州数码 -10.28% | 000710 贝瑞基因 +2.19%
2017-04-05,2,0,0,2,-1.2580,5.1698,1.1706,-12657.9035,993572.5752,-6427.4248,-0.6427,-9.1541,False,"000597,000968","东北制药,蓝焰控股",000597 东北制药 -2.42% | 000968 蓝焰控股 -0.10%
2017-04-11,2,0,1,1,-2.2188,4.7928,1.3200,-22045.5813,971526.9938,-28473.0062,-2.8473,-11.1698,False,"000537,000629","绿发电力,钒钛股份",000537 绿发电力 -9.10% | 000629 钒钛股份 +4.66%
2017-04-12,2,0,0,2,-3.9955,4.9808,1.4221,-38817.0614,932709.9324,-67290.0676,-6.7290,-14.7190,False,"000037,000950","深南电A,重药控股",000037 深南电A -3.48% | 000950 重药控股 -4.51%
2017-04-26,2,0,0,2,-1.2639,4.9847,1.5463,-11788.3873,920921.5451,-79078.4549,-7.9078,-15.7968,False,"000408,000913","藏格矿业,钱江摩托",000408 藏格矿业 -1.29% | 000913 钱江摩托 -1.24%
2017-04-28,2,0,2,0,1.3632,4.9400,1.3880,12553.6644,933475.2095,-66524.7905,-6.6525,-14.6490,True,"000957,000995","中通客车,皇台酒业",000957 中通客车 +0.47% | 000995 皇台酒业 +2.26%
2017-05-16,2,0,0,2,-1.9402,5.0576,1.5982,-18110.8329,915364.3766,-84635.6234,-8.4636,-16.3049,False,"000858,000915","五 粮 液,华特达因",000858 五 粮 液 -2.91% | 000915 华特达因 -0.98%
2017-06-08,2,0,0,2,-1.6423,4.9728,2.8857,-15032.7449,900331.6317,-99668.3683,-9.9668,-17.6794,False,"000410,000995","沈阳机床,皇台酒业",000410 沈阳机床 -3.07% | 000995 皇台酒业 -0.21%
2017-06-09,2,0,1,1,0.2573,4.7186,1.7955,2316.7302,902648.3619,-97351.6381,-9.7352,-17.4676,True,"000065,000692","北方国际,惠天热电",000065 北方国际 +1.10% | 000692 惠天热电 -0.59%
2017-06-13,2,1,1,1,4.2004,4.8173,1.1403,37914.7744,940563.1363,-59436.8637,-5.9437,-14.0009,True,"000039,000995","中集集团,皇台酒业",000039 中集集团 -1.34% | 000995 皇台酒业 +9.74%涨停
2017-06-21,2,0,0,2,-2.0396,5.1231,1.8384,-19184.0134,921379.1229,-78620.8771,-7.8621,-15.7550,False,"000869,002008","张  裕Ａ,大族激光",000869 张  裕Ａ -2.10% | 002008 大族激光 -1.98%
2017-06-22,2,0,1,1,-0.4425,4.9756,1.0268,-4077.0401,917302.0828,-82697.9172,-8.2698,-16.1278,False,"000025,000659","特  力Ａ,珠海中富",000025 特  力Ａ -2.77% | 000659 珠海中富 +1.88%
2017-07-07,2,0,1,1,1.6996,5.2265,1.6571,15590.6824,932892.7652,-67107.2348,-6.7107,-14.7023,True,"000410,000807","沈阳机床,云铝股份",000410 沈阳机床 +4.67% | 000807 云铝股份 -1.27%
2017-07-10,2,0,1,1,1.8551,4.9266,1.4798,17306.3027,950199.0679,-49800.9321,-4.9801,-13.1199,True,"000410,000932","沈阳机床,华菱钢铁",000410 沈阳机床 -0.89% | 000932 华菱钢铁 +4.60%
2017-07-13,2,0,0,2,-0.9122,5.3735,1.1519,-8668.1425,941530.9254,-58469.0746,-5.8469,-13.9124,False,"000001,000597","平安银行,东北制药",000001 平安银行 -0.30% | 000597 东北制药 -1.52%
2017-07-18,2,0,2,0,1.4896,5.2932,1.2359,14024.6137,955555.5391,-44444.4609,-4.4444,-12.6301,True,"000528,000731","柳    工,四川美丰",000528 柳    工 +1.11% | 000731 四川美丰 +1.87%
2017-07-19,2,0,0,2,-1.0597,5.1548,1.6155,-10125.8675,945429.6715,-54570.3285,-5.4570,-13.5560,False,"000166,000712","申万宏源,锦龙股份",000166 申万宏源 -0.98% | 000712 锦龙股份 -1.14%
2017-07-20,2,0,1,1,2.3115,4.9844,1.5576,21853.9543,967283.6259,-32716.3741,-3.2716,-11.5578,True,"000659,000905","珠海中富,厦门港务",000659 珠海中富 -0.51% | 000905 厦门港务 +5.14%
2017-08-17,2,0,1,1,0.3763,5.0340,1.9605,3639.7984,970923.4243,-29076.5757,-2.9077,-11.2250,True,"000778,000922","新兴铸管,佳电股份",000778 新兴铸管 -1.99% | 000922 佳电股份 +2.74%
2017-08-21,2,0,2,0,1.1502,5.0316,1.8099,11167.4497,982090.8740,-17909.1260,-1.7909,-10.2039,True,"000410,000932","沈阳机床,华菱钢铁",000410 沈阳机床 +0.04% | 000932 华菱钢铁 +2.26%
2017-08-24,2,0,0,2,-3.0121,5.0003,1.6926,-29581.1639,952509.7101,-47490.2899,-4.7490,-12.9086,False,"000526,000953","学大教育,中哲精化",000526 学大教育 -0.75% | 000953 中哲精化 -5.27%
2017-09-04,2,0,0,2,-2.2296,4.6716,1.5076,-21237.2229,931272.4873,-68727.5127,-6.8728,-14.8504,False,"000001,002057","平安银行,中钢天源",000001 平安银行 -0.98% | 002057 中钢天源 -3.48%
2017-09-22,2,0,0,2,-2.1912,5.0538,1.5709,-20406.2857,910866.2016,-89133.7984,-8.9134,-16.7162,False,"000809,002085","和展能源,万丰奥威",000809 和展能源 -3.28% | 002085 万丰奥威 -1.10%
2017-09-26,2,0,2,0,0.7705,4.7840,1.3671,7018.4004,917884.6020,-82115.3980,-8.2115,-16.0745,True,"000822,002067","山东海化,景兴纸业",000822 山东海化 +0.99% | 002067 景兴纸业 +0.55%
2017-09-29,2,0,1,1,0.4173,4.8795,1.3122,3830.5017,921715.1036,-78284.8964,-7.8285,-15.7243,True,"000932,002078","华菱钢铁,太阳纸业",000932 华菱钢铁 +1.93% | 002078 太阳纸业 -1.10%
2017-10-31,2,0,0,2,-3.3279,5.2383,1.0512,-30674.1920,891040.9116,-108959.0884,-10.8959,-18.5289,False,"000537,002081","绿发电力,金 螳 螂",000537 绿发电力 -2.56% | 002081 金 螳 螂 -4.10%
2017-11-06,2,0,0,2,-0.8064,5.2710,1.6986,-7185.5717,883855.3399,-116144.6601,-11.6145,-19.1859,False,"000655,002032","金岭矿业,苏 泊 尔",000655 金岭矿业 -0.69% | 002032 苏 泊 尔 -0.93%
2017-11-09,2,0,0,2,-2.1223,4.8433,1.2128,-18758.2558,865097.0841,-134902.9159,-13.4903,-20.9011,False,"000670,000755","盈方微,山西高速",000670 盈方微 -0.16% | 000755 山西高速 -4.09%
2017-11-14,2,0,1,1,2.1100,5.1408,1.4692,18253.3819,883350.4660,-116649.5340,-11.6650,-19.2321,True,"000002,000755","万  科Ａ,山西高速",000002 万  科Ａ -0.51% | 000755 山西高速 +4.73%
2017-11-21,2,0,0,2,-2.0377,5.0133,1.3923,-17999.6745,865350.7915,-134649.2085,-13.4649,-20.8779,False,"000631,000803","顺发恒能,山高环能",000631 顺发恒能 -2.04% | 000803 山高环能 -2.03%
2017-12-11,2,0,0,2,-1.8561,4.9391,1.4957,-16061.4875,849289.3040,-150710.6960,-15.0711,-22.3464,False,"000756,000921","新华制药,海信家电",000756 新华制药 -2.85% | 000921 海信家电 -0.86%
2017-12-27,2,0,1,1,1.5882,4.9892,3.0530,13488.1958,862777.4997,-137222.5003,-13.7223,-21.1131,True,"000755,000912","山西高速,泸天化",000755 山西高速 -1.60% | 000912 泸天化 +4.78%
2018-01-04,2,0,1,1,-0.4274,5.0331,1.2438,-3687.9364,859089.5633,-140910.4367,-14.0910,-21.4503,False,"000912,000932","泸天化,华菱钢铁",000912 泸天化 +0.34% | 000932 华菱钢铁 -1.19%
2018-01-09,2,0,1,1,0.9706,4.8598,1.4109,8338.0314,867427.5947,-132572.4053,-13.2572,-20.6880,True,"000858,000922","五 粮 液,佳电股份",000858 五 粮 液 +2.95% | 000922 佳电股份 -1.01%
2018-01-18,2,0,1,1,0.4809,5.0043,1.7780,4171.7146,871599.3093,-128400.6907,-12.8401,-20.3065,True,"000403,000953","派林生物,中哲精化",000403 派林生物 +1.52% | 000953 中哲精化 -0.56%
2018-02-02,2,0,0,2,-4.1825,5.2136,1.9894,-36454.2472,835145.0621,-164854.9379,-16.4855,-23.6397,False,"002021,002047","中捷资源,宝鹰股份",002021 中捷资源 -3.72% | 002047 宝鹰股份 -4.64%
2018-02-23,2,0,2,0,2.6964,4.9464,1.1949,22518.9995,857664.0616,-142335.9384,-14.2336,-21.5807,True,"000737,000932","北方铜业,华菱钢铁",000737 北方铜业 +2.18% | 000932 华菱钢铁 +3.22%
2018-02-26,2,0,1,1,0.3991,4.8588,1.8565,3423.2904,861087.3520,-138912.6480,-13.8913,-21.2677,True,"000659,002009","珠海中富,天奇股份",000659 珠海中富 +2.89% | 002009 天奇股份 -2.09%
2018-04-18,2,0,1,1,0.0893,4.8843,1.8361,768.7975,861856.1495,-138143.8505,-13.8144,-21.1974,True,"000048,000738","京基智农,航发控制",000048 京基智农 -0.54% | 000738 航发控制 +0.72%
2018-05-21,2,0,1,1,-0.3744,4.8629,2.4859,-3226.3986,858629.7508,-141370.2492,-14.1370,-21.4924,False,"000692,000737","惠天热电,北方铜业",000692 惠天热电 +0.69% | 000737 北方铜业 -1.44%
2018-06-22,2,0,1,1,0.9971,5.0309,1.2011,8561.1032,867190.8540,-132809.1460,-13.2809,-20.7096,True,"000546,000893","金圆股份,亚钾国际",000546 金圆股份 -2.85% | 000893 亚钾国际 +4.84%
2018-06-29,2,0,1,1,0.4098,5.0825,2.0000,3553.4196,870744.2736,-129255.7264,-12.9256,-20.3847,True,"000789,000995","万年青,皇台酒业",000789 万年青 -3.86% | 000995 皇台酒业 +4.68%
2018-07-11,2,0,1,1,0.6725,5.0278,1.5303,5856.1490,876600.4226,-123399.5774,-12.3400,-19.8493,True,"000048,000995","京基智农,皇台酒业",000048 京基智农 -0.24% | 000995 皇台酒业 +1.59%
2018-07-18,2,0,1,1,-1.0767,5.0450,1.6774,-9438.5118,867161.9107,-132838.0893,-13.2838,-20.7123,False,"000422,000755","湖北宜化,山西高速",000422 湖北宜化 -2.29% | 000755 山西高速 +0.14%
2018-07-19,2,0,0,2,-1.3475,5.1897,1.1866,-11685.4073,855476.5035,-144523.4965,-14.4523,-21.7807,False,"000803,000970","山高环能,中科三环",000803 山高环能 -1.02% | 000970 中科三环 -1.67%
2018-07-24,2,0,0,2,-1.8699,5.0106,1.7609,-15996.7219,839479.7816,-160520.2184,-16.0520,-23.2433,False,"000537,000720","绿发电力,新能泰山",000537 绿发电力 -1.27% | 000720 新能泰山 -2.47%
2018-07-25,2,0,2,0,1.2869,5.0506,1.0879,10803.1632,850282.9448,-149717.0552,-14.9717,-22.2556,True,"000409,000755","云鼎科技,山西高速",000409 云鼎科技 +1.21% | 000755 山西高速 +1.36%
2018-07-26,2,0,1,1,0.5598,5.0373,1.9622,4759.6369,855042.5818,-144957.4182,-14.4957,-21.8204,True,"000048,000816","京基智农,智慧农业",000048 京基智农 +3.84% | 000816 智慧农业 -2.72%
2018-07-27,2,0,1,1,0.0108,5.0788,1.2691,92.0804,855134.6622,-144865.3378,-14.4865,-21.8120,True,"000409,000422","云鼎科技,湖北宜化",000409 云鼎科技 +4.80% | 000422 湖北宜化 -4.78%
2018-07-31,2,0,2,0,4.3087,5.0997,1.1602,36845.2918,891979.9539,-108020.0461,-10.8020,-18.4431,True,"000409,000422","云鼎科技,湖北宜化",000409 云鼎科技 +4.83% | 000422 湖北宜化 +3.79%
2018-08-21,2,0,2,0,2.7739,5.0641,1.7927,24743.0336,916722.9875,-83277.0125,-8.3277,-16.1807,True,"000720,000737","新能泰山,北方铜业",000720 新能泰山 +4.58% | 000737 北方铜业 +0.97%
2018-08-22,2,0,0,2,-2.6310,5.0639,2.0144,-24118.6866,892604.3008,-107395.6992,-10.7396,-18.3860,False,"000422,000755","湖北宜化,山西高速",000422 湖北宜化 -2.85% | 000755 山西高速 -2.41%
2018-08-27,2,0,1,1,1.5022,4.8147,1.4757,13408.2843,906012.5851,-93987.4149,-9.3987,-17.1600,True,"000893,002065","亚钾国际,东华软件",000893 亚钾国际 +4.21% | 002065 东华软件 -1.20%
2018-08-29,2,0,0,2,-2.0677,4.9967,2.1221,-18733.4603,887279.1248,-112720.8752,-11.2721,-18.8729,False,"000570,000803","苏常柴Ａ,山高环能",000570 苏常柴Ａ -3.68% | 000803 山高环能 -0.46%
2018-09-20,2,0,1,1,-0.2756,5.0169,1.7595,-2444.9232,884834.2016,-115165.7984,-11.5166,-19.0964,False,"000422,000707","湖北宜化,双环科技",000422 湖北宜化 +0.79% | 000707 双环科技 -1.34%
2018-09-21,2,0,0,2,-1.8759,5.1476,1.3934,-16598.6916,868235.5100,-131764.4900,-13.1764,-20.6141,False,"000697,000951","炼石航空,中国重汽",000697 炼石航空 -1.57% | 000951 中国重汽 -2.18%
2018-09-27,2,0,0,2,-1.6795,4.9770,1.8272,-14581.6505,853653.8596,-146346.1404,-14.6346,-21.9473,False,"000422,000995","湖北宜化,皇台酒业",000422 湖北宜化 -1.67% | 000995 皇台酒业 -1.69%
2018-10-22,2,0,0,2,-0.6494,5.1175,1.2731,-5543.9151,848109.9445,-151890.0555,-15.1890,-22.4542,False,"000422,000655","湖北宜化,金岭矿业",000422 湖北宜化 -0.67% | 000655 金岭矿业 -0.63%
2018-10-23,2,0,1,1,1.2452,4.9704,1.6405,10560.4668,858670.4113,-141329.5887,-14.1330,-21.4887,True,"000707,000803","双环科技,山高环能",000707 双环科技 -2.25% | 000803 山高环能 +4.74%
2018-10-25,2,0,1,1,1.1022,4.9834,3.8048,9463.9623,868134.3736,-131865.6264,-13.1866,-20.6233,True,"000803,000953","山高环能,中哲精化",000803 山高环能 -2.51% | 000953 中哲精化 +4.71%
2018-10-26,2,0,1,1,2.2060,4.8778,2.0046,19150.7542,887285.1278,-112714.8722,-11.2715,-18.8723,True,"000953,000995","中哲精化,皇台酒业",000953 中哲精化 +4.71% | 000995 皇台酒业 -0.30%
2018-10-30,2,0,1,1,0.2975,5.1169,1.1756,2639.3481,889924.4759,-110075.5241,-11.0076,-18.6310,True,"000720,000980","新能泰山,众泰汽车",000720 新能泰山 +2.21% | 000980 众泰汽车 -1.61%
2018-11-09,2,0,2,0,4.6789,5.0231,1.8108,41638.7675,931563.2434,-68436.7566,-6.8437,-14.8238,True,"000409,000995","云鼎科技,皇台酒业",000409 云鼎科技 +4.67% | 000995 皇台酒业 +4.69%
2018-11-12,2,0,2,0,2.7004,5.0976,1.5718,25156.2325,956719.4759,-43280.5241,-4.3281,-12.5237,True,"000422,000893","湖北宜化,亚钾国际",000422 湖北宜化 +2.50% | 000893 亚钾国际 +2.90%
2018-11-13,2,0,0,2,-2.8781,5.1747,1.3534,-27535.0396,929184.4363,-70815.5637,-7.0816,-15.0413,False,"000707,000816","双环科技,智慧农业",000707 双环科技 -4.22% | 000816 智慧农业 -1.53%
2018-11-16,2,0,1,1,1.7586,4.9794,1.9354,16340.6692,945525.1055,-54474.8945,-5.4475,-13.5472,True,"000403,000922","派林生物,佳电股份",000403 派林生物 -0.19% | 000922 佳电股份 +3.71%
2018-11-22,2,0,0,2,-5.0816,5.0611,1.6337,-48047.4079,897477.6976,-102522.3024,-10.2522,-17.9404,False,"000953,000995","中哲精化,皇台酒业",000953 中哲精化 -4.92% | 000995 皇台酒业 -5.24%
2018-11-26,2,0,2,0,2.3864,4.8977,1.4356,21417.8164,918895.5140,-81104.4860,-8.1104,-15.9821,True,"000948,002014","南天信息,永新股份",000948 南天信息 +3.05% | 002014 永新股份 +1.72%
2018-12-03,2,0,2,0,1.2914,4.7896,1.1792,11866.1767,930761.6907,-69238.3093,-6.9238,-14.8971,True,"000409,000561","云鼎科技,烽火电子",000409 云鼎科技 +1.06% | 000561 烽火电子 +1.52%
2018-12-05,2,0,1,1,-2.0431,4.8730,1.5930,-19016.6563,911745.0343,-88254.9657,-8.8255,-16.6359,False,"000816,000995","智慧农业,皇台酒业",000816 智慧农业 +0.99% | 000995 皇台酒业 -5.08%
2018-12-20,2,0,1,1,0.7034,5.0000,1.2460,6413.2270,918158.2613,-81841.7387,-8.1842,-16.0495,True,"000876,000893","新 希 望,亚钾国际",000876 新 希 望 -2.34% | 000893 亚钾国际 +3.75%
2019-01-07,2,0,1,1,0.6667,4.8792,1.5458,6121.7558,924280.0171,-75719.9829,-7.5720,-15.4897,True,"000409,000739","云鼎科技,普洛药业",000409 云鼎科技 +1.76% | 000739 普洛药业 -0.43%
2019-01-11,2,0,0,2,-3.3799,4.9287,1.2553,-31239.4660,893040.5511,-106959.4489,-10.6959,-18.3461,False,"000948,000995","南天信息,皇台酒业",000948 南天信息 -4.32% | 000995 皇台酒业 -2.44%
2019-01-29,2,0,0,2,-3.6433,4.9510,1.3264,-32535.8761,860504.6751,-139495.3249,-13.9495,-21.3210,False,"000422,000912","湖北宜化,泸天化",000422 湖北宜化 -5.26% | 000912 泸天化 -2.03%
2019-01-30,2,0,1,1,0.0219,5.0758,2.1242,188.6848,860693.3598,-139306.6402,-13.9307,-21.3037,True,"000048,000655","京基智农,金岭矿业",000048 京基智农 +4.69% | 000655 金岭矿业 -4.65%
2019-02-01,2,0,2,0,1.4841,4.9753,1.4070,12773.2284,873466.5883,-126533.4117,-12.6533,-20.1358,True,"000567,000720","海德股份,新能泰山",000567 海德股份 +1.59% | 000720 新能泰山 +1.38%
2019-02-11,2,0,2,0,1.4335,5.1781,1.3644,12521.1448,885987.7331,-114012.2669,-11.4012,-18.9909,True,"000550,000893","江铃汽车,亚钾国际",000550 江铃汽车 +2.22% | 000893 亚钾国际 +0.65%
2019-02-18,2,0,1,1,-0.2524,5.2201,1.3624,-2236.5901,883751.1429,-116248.8571,-11.6249,-19.1954,False,"000564,000679","供销大集,大连友谊",000564 供销大集 +0.04% | 000679 大连友谊 -0.54%
2019-02-20,2,1,1,1,4.5611,4.9349,1.3636,40309.0444,924060.1873,-75939.8127,-7.5940,-15.5098,True,"000409,000890","云鼎科技,法尔胜",000409 云鼎科技 -0.72% | 000890 法尔胜 +9.84%涨停
2019-02-22,2,0,2,0,4.0271,5.0114,1.5361,37213.0325,961273.2199,-38726.7801,-3.8727,-12.1073,True,"000612,000720","焦作万方,新能泰山",000612 焦作万方 +3.83% | 000720 新能泰山 +4.22%
2019-02-25,2,0,1,1,0.9900,5.3344,1.5471,9517.0405,970790.2604,-29209.7396,-2.9210,-11.2371,True,"000571,002107","新大洲A,沃华医药",000571 新大洲A +2.79% | 002107 沃华医药 -0.81%
2019-02-28,2,0,1,1,0.8797,4.9501,1.3014,8539.7829,979330.0433,-20669.9567,-2.0670,-10.4563,True,"000912,000953","泸天化,中哲精化",000912 泸天化 +2.06% | 000953 中哲精化 -0.30%
2019-03-01,2,0,1,1,-0.1072,5.0229,1.2170,-1049.6123,978280.4310,-21719.5690,-2.1720,-10.5523,False,"000720,000816","新能泰山,智慧农业",000720 新能泰山 -1.37% | 000816 智慧农业 +1.16%
2019-03-05,2,0,0,2,-1.8771,5.1330,1.2725,-18363.5527,959916.8783,-40083.1217,-4.0083,-12.2313,False,"000531,000860","穗恒运Ａ,顺鑫农业",000531 穗恒运Ａ -1.43% | 000860 顺鑫农业 -2.33%
2019-03-06,2,0,2,0,4.6626,5.1119,1.4267,44756.7670,1004673.6453,4673.6453,0.4674,-8.1391,True,"000816,000893","智慧农业,亚钾国际",000816 智慧农业 +4.65% | 000893 亚钾国际 +4.67%
2019-03-07,2,0,1,1,-2.6251,5.0257,1.3921,-26373.8168,978299.8285,-21700.1715,-2.1700,-10.5505,False,"000655,000893","金岭矿业,亚钾国际",000655 金岭矿业 -5.33% | 000893 亚钾国际 +0.08%
2019-03-15,2,0,2,0,3.1094,5.0394,1.0903,30419.5362,1008719.3647,8719.3647,0.8719,-7.7692,True,"000782,000912","恒申新材,泸天化",000782 恒申新材 +1.46% | 000912 泸天化 +4.75%
2019-03-18,2,0,1,1,-0.5823,5.1202,1.2353,-5873.3597,1002846.0049,2846.0049,0.2846,-8.3062,False,"000655,000766","金岭矿业,通化金马",000655 金岭矿业 +1.64% | 000766 通化金马 -2.81%
2019-03-19,2,0,1,1,0.8421,4.8978,1.5151,8444.7036,1011290.7085,11290.7085,1.1291,-7.5340,True,"000737,000816","北方铜业,智慧农业",000737 北方铜业 +4.67% | 000816 智慧农业 -2.98%
2019-03-20,2,0,2,0,4.7044,5.0591,1.7791,47575.0381,1058865.7466,58865.7466,5.8866,-3.1841,True,"000409,000720","云鼎科技,新能泰山",000409 云鼎科技 +4.68% | 000720 新能泰山 +4.73%
2019-03-21,2,0,1,1,-0.2600,4.9904,1.4220,-2753.3454,1056112.4012,56112.4012,5.6112,-3.4358,False,"000409,000707","云鼎科技,双环科技",000409 云鼎科技 -2.12% | 000707 双环科技 +1.60%
2019-03-22,2,0,1,1,0.1079,5.0885,1.3007,1139.6382,1057252.0394,57252.0394,5.7252,-3.3316,True,"000655,000766","金岭矿业,通化金马",000655 金岭矿业 -1.73% | 000766 通化金马 +1.94%
2019-03-25,2,0,0,2,-1.4091,5.0336,1.2803,-14897.2871,1042354.7523,42354.7523,4.2355,-4.6937,False,"000409,002086","云鼎科技,东方海洋",000409 云鼎科技 -0.30% | 002086 东方海洋 -2.52%
2019-03-29,2,0,2,0,2.2588,5.0035,1.3763,23544.6109,1065899.3632,65899.3632,6.5899,-2.5410,True,"000001,000930","平安银行,中粮科技",000001 平安银行 +2.51% | 000930 中粮科技 +2.01%
2019-04-01,2,0,2,0,2.9652,5.1028,1.2732,31605.5987,1097504.9619,97504.9619,9.7505,0.0000,True,"000655,002045","金岭矿业,国光电器",000655 金岭矿业 +4.33% | 002045 国光电器 +1.60%
